bufsize,1,2,3,4,5,average,median
1,14327.88,14807.58,14307.38,14774.32,13973.90,14438.2,14327.88
10,11556.55,12263.92,9550.46,10818.76,12567.08,11351.4,11556.55
20,10100.19,10061.48,8962.58,9734.44,8560.84,9483.91,9734.44
30,7199.11,7915.46,7719.56,7160.35,7648.01,7528.5,7648.01
40,7023.75,6104.00,6838.40,6963.16,6636.85,6713.23,6838.40
50,6196.13,5825.37,6023.62,6152.71,5959.05,6031.38,6023.62
60,5375.19,5376.60,5539.92,5555.06,5370.25,5443.4,5376.60
70,4988.20,4622.85,4855.38,4892.92,4727.84,4817.44,4855.38
80,4435.20,4397.67,4444.05,4491.01,4368.40,4427.27,4435.20
90,4127.34,4119.24,4134.47,3938.11,3925.80,4048.99,4119.24
100,3807.87,3827.41,3475.70,3872.10,3653.48,3727.31,3807.87
