rec_count,1,2,3,4,5,average,median
5000,48.8633,49.0853,48.9089,48.7868,49.2627,48.9814,48.9089
10000,48.0102,48.4365,47.9565,48.1520,48.0899,48.129,48.0899
20000,45.3967,46.5256,46.7801,46.5739,46.7317,46.4016,46.5739
40000,46.0860,46.4592,45.9404,45.0560,46.1368,45.9357,46.0860
60000,45.5029,45.1603,45.2878,45.5789,45.1557,45.3371,45.2878
80000,45.3978,45.0662,45.0419,45.2817,45.2565,45.2088,45.2565
100000,45.4200,44.8579,44.6931,44.9897,45.1573,45.0236,44.9897
120000,44.3012,44.7219,44.2782,44.1456,44.6912,44.4276,44.3012
140000,44.2357,44.3828,44.5813,43.7495,43.7408,44.138,44.2357
160000,43.6176,44.5584,43.0284,44.1886,43.8679,43.8522,43.8679
180000,44.1300,43.3851,43.5337,44.3870,44.0378,43.8947,44.0378
200000,44.0647,43.8152,43.5922,43.6440,43.7045,43.7641,43.7045
